landingPagePath,goal17Completions,goal13Completions
(not set),9,3
/,103,68
/?CSS launch_COPY_01=&mc_cid=4dff83231a&mc_eid=f7cc634033,0,0
/?CSS launch_COPY_01=&mc_cid=ac71aa33d4&mc_eid=9b57e4be53,0,0
/?CSS launch=&mc_cid=7d6b21ce35&mc_eid=35aaee9366,0,0
/?CSS launch=&mc_cid=7d6b21ce35&mc_eid=6281d76dcf,0,0
/?CSS launch=&mc_cid=a6b120e689&mc_eid=[UNIQID],0,0
/?CSS launch=&mc_cid=a6b120e689&mc_eid=92a36f5f7d,0,0
/?ct=t(short courses uk)&mc_cid=9e22d3be4a&mc_eid=[UNIQID],0,0
/?elementor_library=blog-main-1-page-marcin&elementor-preview=11113&ver=1592915195,0,0
/?elementor-preview=15&ver=1585647616,0,0
/?elementor-preview=15&ver=1586334771,0,0
/?fbclid=IwAR0-lWrxmSDPxEVPMbLSa16ncxuufWdqzFCXda0UyLZMz1edUqtU5Elj9k8,0,0
/?fbclid=IwAR0-UdxvAeiWlLJG-Xwz7Bbd0BSUMTE0p28coClFC3dQ2xmOBw1-t2-dZ6M,0,0
/?fbclid=IwAR00cB1aqgizo9E49mhpxMq8GadqrsKLD-R0hgobiJ1kgFnh6FAPekIS2RI,0,0
/?fbclid=IwAR00lSPSRiXSPugqFNXqfjr0Pa7E_m5Lx_JmYdv0fuPcx-X40Cqr5Bao3uM,0,0
/?fbclid=IwAR01x2ZU6-BEOF5SO4GUvIO0eStxFN9DapPBVCfGi9wHedJD0o3mLcJTC6g,0,0
/?fbclid=IwAR021FFvgeH3ZG3FpSusSIntnHOdOLio3j_l0nBQKSoUDD4hNjSza2OS3W8,0,0
/?fbclid=IwAR02B_2DT64cGCdVPC8Mgo_iwfq9dtZbSgp6lX82p0oYvdUS1zopV6qJL1I,0,0
/?fbclid=IwAR02rz1G0igasHqNnlxUPpQSujkQkilSdyMElQ_nmPaVN4r-PrEH8nyRf0o,0,0
/?fbclid=IwAR03PaAfgT-aDwgz3_p3NPt6RKAPaxIBOywg06lrOcCB-ogOUEIKiRf2sww,0,0
/?fbclid=IwAR03QwZGtd5IVXqq1MLI_UNWV68madCw6Zmj7K6jepJJfT0VM0gX3GTWHa4,0,0
/?fbclid=IwAR03SKhAe5vZnZuMfaiA2nmx9Ze5jlBCjmZq2_QKgxsakKoOke54uQlALS8,0,0
