landingPagePath,sessions,sessionDuration,avgSessionDuration,bounces,bounceRate,pageViews,avgTimeOnPage,pageViewsPerSession,exits,exitRate
(not set),20,46,2.3,0,0,0,0,0,0,0
/,23086,4432281,191.98999393571862,7325,31.72918651996881,81075,76.4329269344186,3.51186866499177,23086,28.474868948504472
/?CSS launch_COPY_01=&mc_cid=4dff83231a&mc_eid=f7cc634033,1,7,7,0,0,2,7,2,1,50
/?CSS launch_COPY_01=&mc_cid=ac71aa33d4&mc_eid=9b57e4be53,1,484,484,0,0,8,69.14285714285714,8,1,12.5
/?CSS launch=&mc_cid=7d6b21ce35&mc_eid=35aaee9366,1,0,0,1,100,1,0,1,1,100
/?CSS launch=&mc_cid=7d6b21ce35&mc_eid=6281d76dcf,1,0,0,1,100,1,0,1,1,100
/?CSS launch=&mc_cid=a6b120e689&mc_eid=[UNIQID],1,313,313,0,0,10,34.666666666666664,10,1,10
/?CSS launch=&mc_cid=a6b120e689&mc_eid=92a36f5f7d,1,1476,1476,0,0,12,134.0909090909091,12,1,8.333333333333332
/?ct=t(short courses uk)&mc_cid=9e22d3be4a&mc_eid=[UNIQID],1,169,169,0,0,3,84.5,3,1,33.33333333333333
/?elementor_library=blog-main-1-page-marcin&elementor-preview=11113&ver=1592915195,1,1841,1841,0,0,15,131.5,15,1,6.666666666666667
/?elementor-preview=15&ver=1585647616,1,0,0,1,100,1,0,1,1,100
/?elementor-preview=15&ver=1586334771,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0_diyVi-tSwI1r-5ny4B6foifj4NP3w4qsMBODxPqLYJjO_wA80dU9D5o,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0-lWrxmSDPxEVPMbLSa16ncxuufWdqzFCXda0UyLZMz1edUqtU5Elj9k8,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR0-UdxvAeiWlLJG-Xwz7Bbd0BSUMTE0p28coClFC3dQ2xmOBw1-t2-dZ6M,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR00cB1aqgizo9E49mhpxMq8GadqrsKLD-R0hgobiJ1kgFnh6FAPekIS2RI,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR00lSPSRiXSPugqFNXqfjr0Pa7E_m5Lx_JmYdv0fuPcx-X40Cqr5Bao3uM,1,0,0,1,100,1,0,1,1,100
/?fbclid=IwAR01x2ZU6-BEOF5SO4GUvIO0eStxFN9DapPBVCfGi9wHedJD0o3mLcJTC6g,1,957,957,0,0,6,191.4,6,1,16.666666666666664
