date,sessions
2020-03-01,259
2020-03-02,347
2020-03-03,341
2020-03-04,359
2020-03-05,386
2020-03-06,327
2020-03-07,196
2020-03-08,206
2020-03-09,335
2020-03-10,356
2020-03-11,326
2020-03-12,245
2020-03-13,197
2020-03-14,136
2020-03-15,177
2020-03-16,223
2020-03-17,241
2020-03-18,448
2020-03-19,274
2020-03-20,301
2020-03-21,146
2020-03-22,169
2020-03-23,253
2020-03-24,251
2020-03-25,240
2020-03-26,259
2020-03-27,187
2020-03-28,124
2020-03-29,124
2020-03-30,239
2020-03-31,349
2020-04-01,232
2020-04-02,268
2020-04-03,275
2020-04-04,160
2020-04-05,141
2020-04-06,217
2020-04-07,258
2020-04-08,272
2020-04-09,249
2020-04-10,192
2020-04-11,139
2020-04-12,137
2020-04-13,234
2020-04-14,290
2020-04-15,284
2020-04-16,260
2020-04-17,238
2020-04-18,143
2020-04-19,178
2020-04-20,270
2020-04-21,303
2020-04-22,258
2020-04-23,268
2020-04-24,225
2020-04-25,160
2020-04-26,347
2020-04-27,363
2020-04-28,367
2020-04-29,383
2020-04-30,366
2020-05-01,301
2020-05-02,181
2020-05-03,164
2020-05-04,292
2020-05-05,280
2020-05-06,300
2020-05-07,274
2020-05-08,211
2020-05-09,195
2020-05-10,178
2020-05-11,455
2020-05-12,353
2020-05-13,552
2020-05-14,371
2020-05-15,356
2020-05-16,260
2020-05-17,216
2020-05-18,521
2020-05-19,356
2020-05-20,317
2020-05-21,296
2020-05-22,315
2020-05-23,176
2020-05-24,207
2020-05-25,454
2020-05-26,354
2020-05-27,393
2020-05-28,298
2020-05-29,350
2020-05-30,141
2020-05-31,160
2020-06-01,401
2020-06-02,503
2020-06-03,400
2020-06-04,587
2020-06-05,415
2020-06-06,204
2020-06-07,183
2020-06-08,398
2020-06-09,328
2020-06-10,391
2020-06-11,343
2020-06-12,267
2020-06-13,186
2020-06-14,203
2020-06-15,410
2020-06-16,568
2020-06-17,389
2020-06-18,390
2020-06-19,321
2020-06-20,173
2020-06-21,219
2020-06-22,394
2020-06-23,409
2020-06-24,371
2020-06-25,426
2020-06-26,288
2020-06-27,235
2020-06-28,252
2020-06-29,392
2020-06-30,424
2020-07-01,408
2020-07-02,352
2020-07-03,355
2020-07-04,217
2020-07-05,199
2020-07-06,311
2020-07-07,425
2020-07-08,506
2020-07-09,399
2020-07-10,328
2020-07-11,201
2020-07-12,184
2020-07-13,377
2020-07-14,348
2020-07-15,347
2020-07-16,355
2020-07-17,298
2020-07-18,213
2020-07-19,219
2020-07-20,323
2020-07-21,361
2020-07-22,295
2020-07-23,381
2020-07-24,350
2020-07-25,187
2020-07-26,219
2020-07-27,349
2020-07-28,377
2020-07-29,374
2020-07-30,303
2020-07-31,228
2020-08-01,118
